team,n_attack,attack_success,attack_dxt,option_richness,counter_share,realised_success,n_defend,solidity,recovery_rate,press_decisiveness,line_height,lane_suppression
Sweden Women's,251,0.483,0.0307,1.5959,0.0199,0.4781,146.0,0.5153,0.5205,0.1646,92.7916,0.0537
Iceland Women's,41,0.4874,0.0307,1.5227,0.0488,0.5366,98.0,0.4812,0.5306,0.1631,95.86,0.0495
Lille,67,0.4695,0.0306,1.609,0.0,0.4478,78.0,0.5403,0.3205,0.1492,95.4303,0.0476
Italy Women's,140,0.4864,0.0306,1.5807,0.0143,0.5214,129.0,0.4901,0.5426,0.1707,95.0405,0.0535
Rennes,49,0.4827,0.0305,1.5437,0.0204,0.551,72.0,0.5774,0.3889,0.1456,93.5854,0.0454
Denmark Women's,113,0.4838,0.0305,1.5408,0.0265,0.469,150.0,0.5186,0.5267,0.1563,95.5808,0.0496
Portugal Women's,107,0.4793,0.0304,1.5958,0.028,0.514,103.0,0.509,0.534,0.1524,95.2796,0.0504
Austria,142,0.4761,0.0304,1.6368,0.0211,0.4648,101.0,0.5343,0.4653,0.1604,93.581,0.0466
Switzerland Women's,105,0.469,0.0303,1.6193,0.0095,0.419,172.0,0.553,0.4884,0.1568,93.415,0.0476
Wales,55,0.4791,0.0303,1.5495,0.0182,0.3818,97.0,0.547,0.4536,0.1673,91.6943,0.0499
France Women's,250,0.4856,0.0302,1.5597,0.044,0.544,117.0,0.5425,0.5897,0.1673,92.53,0.0488
South Korea,43,0.4617,0.0301,1.6131,0.0233,0.3953,44.0,0.5232,0.2727,0.1765,93.2362,0.0543
Belgium,161,0.4523,0.0301,1.6689,0.0497,0.5093,181.0,0.5393,0.442,0.1571,95.3119,0.0491
Bayern Munich,36,0.4529,0.0301,1.7142,0.0,0.5278,20.0,0.4524,0.2,0.1592,94.0469,0.0517
Lyon,43,0.4827,0.03,1.6772,0.0465,0.5581,64.0,0.538,0.5469,0.1486,93.7048,0.0479
Netherlands Women's,166,0.4737,0.03,1.6499,0.0241,0.3795,138.0,0.4975,0.4783,0.1603,94.2163,0.0481
Canada,41,0.4513,0.0299,1.7355,0.0,0.4878,27.0,0.4822,0.4444,0.1739,94.7585,0.0496
Germany Women's,199,0.474,0.0299,1.6104,0.0201,0.5528,148.0,0.538,0.5068,0.1657,93.2849,0.0501
Australia Women's,74,0.4685,0.0299,1.5721,0.0405,0.527,100.0,0.5313,0.54,0.1636,92.3894,0.0479
Morocco,67,0.4493,0.0294,1.5895,0.0,0.5075,112.0,0.6079,0.4911,0.1503,92.8101,0.0466
Turkey,94,0.4475,0.0294,1.6782,0.0213,0.4787,101.0,0.5268,0.396,0.1589,94.3344,0.0514
Italy,165,0.4584,0.0293,1.635,0.0182,0.4303,150.0,0.5399,0.4533,0.1589,95.7325,0.0473
Clermont Foot,33,0.4282,0.029,1.6454,0.0303,0.3939,42.0,0.5122,0.4524,0.1532,93.6452,0.0508
Switzerland,203,0.4432,0.029,1.6703,0.0148,0.4631,209.0,0.5589,0.4067,0.1551,92.9959,0.0476
England Women's,297,0.4588,0.029,1.6194,0.0202,0.4512,196.0,0.5339,0.5204,0.1618,93.4388,0.0483
Nantes,55,0.4431,0.029,1.641,0.0,0.4182,74.0,0.5383,0.3108,0.1445,93.2599,0.0497
Spain Women's,415,0.4531,0.0289,1.6529,0.0145,0.4699,104.0,0.4749,0.5481,0.1655,94.1324,0.0514
New Zealand Women's,45,0.4629,0.0287,1.5808,0.0444,0.5111,23.0,0.5114,0.4783,0.1728,85.8713,0.0528
Portugal,262,0.4284,0.0287,1.6543,0.0076,0.4466,141.0,0.5569,0.5461,0.1578,92.2663,0.0497
Barcelona,873,0.4383,0.0287,1.7416,0.0183,0.4135,419.0,0.5635,0.3986,0.1598,92.5859,0.0484
Finland,32,0.4343,0.0287,1.7075,0.0312,0.4688,66.0,0.5973,0.303,0.1409,96.3411,0.0376
Jamaica Women's,40,0.4599,0.0286,1.4738,0.0,0.5,58.0,0.5926,0.431,0.1573,91.9725,0.0444
Croatia,216,0.4397,0.0286,1.6553,0.0139,0.4815,195.0,0.5325,0.4205,0.1573,93.606,0.0482
Denmark,187,0.454,0.0286,1.6377,0.0267,0.492,125.0,0.5613,0.52,0.1599,92.8201,0.0502
Brazil,85,0.4464,0.0285,1.6831,0.0235,0.4824,65.0,0.5906,0.4615,0.1629,93.7334,0.0492
Paris Saint-Germain,1103,0.4347,0.0284,1.7177,0.0199,0.4116,762.0,0.5624,0.3688,0.1642,94.0553,0.0463
Hungary,52,0.4509,0.0283,1.5279,0.0385,0.5769,107.0,0.5953,0.3178,0.1501,93.2292,0.043
United States,61,0.4342,0.0282,1.7049,0.0164,0.4098,48.0,0.5502,0.5417,0.1616,93.3726,0.0516
Brazil Women's,56,0.4758,0.0282,1.7048,0.0536,0.4107,26.0,0.5502,0.4231,0.1633,92.2747,0.0465
Athletic Club,32,0.4344,0.0281,1.7734,0.0312,0.4062,46.0,0.5402,0.413,0.1531,93.2345,0.0503
France,246,0.4253,0.0281,1.6204,0.0325,0.4024,241.0,0.5769,0.3942,0.1616,92.4935,0.0481
Ecuador,30,0.4765,0.0278,1.5915,0.0667,0.3667,35.0,0.5928,0.4,0.1693,92.3658,0.0434
Japan,47,0.4178,0.0275,1.7067,0.0,0.4043,65.0,0.6206,0.4308,0.1591,93.1333,0.0436
Sevilla,31,0.4331,0.0275,1.6852,0.0,0.3871,41.0,0.5856,0.4634,0.1426,92.6911,0.0417
Villarreal,33,0.4269,0.0274,1.6609,0.0,0.3939,46.0,0.4918,0.2826,0.1489,94.3614,0.0548
Serbia,89,0.4282,0.0274,1.6262,0.0112,0.427,75.0,0.5215,0.36,0.1631,94.4754,0.048
Lens,37,0.4122,0.0273,1.7334,0.0,0.4865,59.0,0.5905,0.2542,0.1504,95.3661,0.0421
Nigeria Women's,44,0.4511,0.0273,1.4836,0.0,0.3864,60.0,0.5425,0.3833,0.1654,92.0635,0.0495
North Macedonia,33,0.4524,0.0273,1.6698,0.0606,0.4242,66.0,0.5162,0.5303,0.1539,94.0274,0.0493
Spain,375,0.4136,0.0272,1.7453,0.0133,0.3813,160.0,0.4926,0.4625,0.1602,94.3874,0.0551
England,259,0.4215,0.0272,1.6428,0.0077,0.3552,213.0,0.5729,0.3286,0.1605,93.2063,0.0473
Netherlands,223,0.4312,0.0272,1.6906,0.0224,0.4529,163.0,0.5667,0.3436,0.1545,92.8578,0.0447
Sweden,49,0.4224,0.0271,1.7181,0.0408,0.4286,80.0,0.5846,0.3625,0.1458,95.7971,0.046
Russia,39,0.3977,0.0271,1.8561,0.0256,0.4872,44.0,0.5964,0.4773,0.1396,93.7351,0.0462
Scotland,63,0.4476,0.027,1.6415,0.0794,0.4127,90.0,0.5314,0.4,0.1561,95.5831,0.0458
Japan Women's,76,0.4211,0.027,1.5878,0.0,0.5658,75.0,0.604,0.44,0.1546,91.0624,0.0405
Atlético Madrid,32,0.3992,0.0268,1.7675,0.0312,0.3438,41.0,0.6799,0.2195,0.1336,94.21,0.0387
Colombia Women's,56,0.4177,0.0268,1.4656,0.0,0.3571,68.0,0.5436,0.5,0.1658,93.9664,0.0476
OGC Nice,60,0.4318,0.0268,1.7333,0.05,0.4,81.0,0.5572,0.358,0.1443,93.795,0.0471
Argentina,96,0.4105,0.0267,1.6782,0.0,0.3542,89.0,0.6433,0.4157,0.1535,92.4412,0.0412
Czech Republic,107,0.426,0.0267,1.7601,0.0374,0.3925,94.0,0.5318,0.4255,0.1557,92.6403,0.0507
Lorient,33,0.4193,0.0267,1.5833,0.0303,0.5152,75.0,0.6215,0.3867,0.1396,94.4866,0.0423
Angers,32,0.4174,0.0266,1.7555,0.0625,0.4062,34.0,0.6133,0.4118,0.1386,92.4492,0.0419
Auxerre,37,0.4037,0.0265,1.6485,0.0,0.5676,34.0,0.5788,0.2353,0.1662,90.9466,0.0528
Poland,116,0.4193,0.0261,1.7461,0.0172,0.4569,144.0,0.5852,0.4028,0.155,93.3259,0.0466
Real Valladolid,31,0.4183,0.026,1.5614,0.0,0.4516,54.0,0.5572,0.3889,0.1475,95.2611,0.0471
Stade de Reims,52,0.426,0.0258,1.7231,0.0385,0.4038,50.0,0.5328,0.44,0.1522,95.0375,0.0488
Mexico,30,0.3832,0.0256,1.7189,0.0667,0.4333,32.0,0.6219,0.4062,0.1565,87.8638,0.0499
Korea Republic Women's,30,0.4033,0.0254,1.7086,0.0,0.3333,31.0,0.5477,0.4516,0.1565,93.0526,0.0457
Australia,39,0.4131,0.0254,1.5739,0.0,0.359,56.0,0.5294,0.4464,0.155,92.564,0.0518
Ghana,37,0.4152,0.0254,1.6482,0.0,0.3784,51.0,0.5497,0.4314,0.168,96.2178,0.0473
Senegal,40,0.3865,0.0253,1.6653,0.0,0.3,56.0,0.5109,0.4464,0.1663,92.3847,0.0537
Canada Women's,50,0.3948,0.0251,1.7742,0.02,0.46,29.0,0.495,0.5172,0.1775,91.2052,0.0533
Qatar,36,0.4015,0.025,1.4831,0.0278,0.3333,54.0,0.6207,0.4074,0.1522,92.0877,0.0394
Olympique de Marseille,52,0.3812,0.0242,1.8123,0.0,0.3077,57.0,0.534,0.4737,0.1543,94.0837,0.0501
Romania,33,0.3836,0.0242,1.7634,0.0,0.5152,56.0,0.5161,0.4286,0.1584,95.2986,0.0529
